SRR1464535 SRR1464535_1.fastq.gz SRR1464535_2.fastq.gz
SRR1466109 SRR1466109_1.fastq.gz SRR1466109_2.fastq.gz
SRR1467612 SRR1467612_1.fastq.gz SRR1467612_2.fastq.gz
SRR1467904 SRR1467904_1.fastq.gz SRR1467904_2.fastq.gz
SRR1468595 SRR1468595_1.fastq.gz SRR1468595_2.fastq.gz
SRR1468613 SRR1468613_1.fastq.gz SRR1468613_2.fastq.gz
SRR1468682 SRR1468682_1.fastq.gz SRR1468682_2.fastq.gz
SRR1468995 SRR1468995_1.fastq.gz SRR1468995_2.fastq.gz
SRR1469591 SRR1469591_1.fastq.gz SRR1469591_2.fastq.gz
SRR1469638 SRR1469638_1.fastq.gz SRR1469638_2.fastq.gz
SRR1469859 SRR1469859_1.fastq.gz SRR1469859_2.fastq.gz
SRR1470816 SRR1470816_1.fastq.gz SRR1470816_2.fastq.gz
SRR1472237 SRR1472237_1.fastq.gz SRR1472237_2.fastq.gz
SRR1472281 SRR1472281_1.fastq.gz SRR1472281_2.fastq.gz
SRR1473142 SRR1473142_1.fastq.gz SRR1473142_2.fastq.gz
SRR1473505 SRR1473505_1.fastq.gz SRR1473505_2.fastq.gz
SRR1474730 SRR1474730_1.fastq.gz SRR1474730_2.fastq.gz
SRR1477015 SRR1477015_1.fastq.gz SRR1477015_2.fastq.gz
SRR1477033 SRR1477033_1.fastq.gz SRR1477033_2.fastq.gz
SRR1477569 SRR1477569_1.fastq.gz SRR1477569_2.fastq.gz
SRR1477837 SRR1477837_1.fastq.gz SRR1477837_2.fastq.gz
SRR1478149 SRR1478149_1.fastq.gz SRR1478149_2.fastq.gz
SRR1478189 SRR1478189_1.fastq.gz SRR1478189_2.fastq.gz
SRR1478434 SRR1478434_1.fastq.gz SRR1478434_2.fastq.gz
SRR1478812 SRR1478812_1.fastq.gz SRR1478812_2.fastq.gz
SRR1478900 SRR1478900_1.fastq.gz SRR1478900_2.fastq.gz
SRR1478990 SRR1478990_1.fastq.gz SRR1478990_2.fastq.gz
SRR1479263 SRR1479263_1.fastq.gz SRR1479263_2.fastq.gz
SRR1479286 SRR1479286_1.fastq.gz SRR1479286_2.fastq.gz
SRR1479933 SRR1479933_1.fastq.gz SRR1479933_2.fastq.gz
SRR1481012 SRR1481012_1.fastq.gz SRR1481012_2.fastq.gz
SRR1485078 SRR1485078_1.fastq.gz SRR1485078_2.fastq.gz
SRR1486174 SRR1486174_1.fastq.gz SRR1486174_2.fastq.gz
SRR1487233 SRR1487233_1.fastq.gz SRR1487233_2.fastq.gz
SRR1487425 SRR1487425_1.fastq.gz SRR1487425_2.fastq.gz
SRR1487807 SRR1487807_1.fastq.gz SRR1487807_2.fastq.gz
SRR1488328 SRR1488328_1.fastq.gz SRR1488328_2.fastq.gz
SRR1488632 SRR1488632_1.fastq.gz SRR1488632_2.fastq.gz
SRR1489693 SRR1489693_1.fastq.gz SRR1489693_2.fastq.gz
